STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지표
A_2024_00682,QY,201004,,,510003,도심지역,100001,투자수익률,1.85,%,,서울>도심지역,투자수익률,2010년 4분기,투자수익률
A_2024_00678,QY,201004,,,510004,여의도마포지역,100001,공실률,4.8,%,,서울>여의도마포지역,공실률,2010년 4분기,공실률
A_2024_00680,QY,201004,,,510004,여의도마포지역,100001,임대료,15.9,천원/㎡,,서울>여의도마포지역,임대료,2010년 4분기,임대료
A_2024_00682,QY,201004,,,510004,여의도마포지역,100001,투자수익률,2.45,%,,서울>여의도마포지역,투자수익률,2010년 4분기,투자수익률
A_2024_00678,QY,201004,,,510005,강남지역,100001,공실률,5.7,%,,서울>강남지역,공실률,2010년 4분기,공실률
A_2024_00680,QY,201004,,,510005,강남지역,100001,임대료,20.6,천원/㎡,,서울>강남지역,임대료,2010년 4분기,임대료
A_2024_00682,QY,201004,,,510005,강남지역,100001,투자수익률,1.19,%,,서울>강남지역,투자수익률,2010년 4분기,투자수익률
A_2024_00678,QY,201004,,,510006,기타지역,100001,공실률,6.8,%,,서울>기타지역,공실률,2010년 4분기,공실률
A_2024_00680,QY,201004,,,510006,기타지역,100001,임대료,14.4,천원/㎡,,서울>기타지역,임대료,2010년 4분기,임대료
A_2024_00682,QY,201004,,,510006,기타지역,100001,투자수익률,1.4,%,,서울>기타지역,투자수익률,2010년 4분기,투자수익률
A_2024_00678,QY,201101,,,500002,서울,100001,공실률,5.6,%,,서울,공실률,2011년 1분기,공실률
A_2024_00680,QY,201101,,,500002,서울,100001,임대료,20.0,천원/㎡,,서울,임대료,2011년 1분기,임대료
A_2024_00682,QY,201101,,,500002,서울,100001,투자수익률,2.21,%,,서울,투자수익률,2011년 1분기,투자수익률
A_2024_00678,QY,201101,,,510003,도심지역,100001,공실률,6.2,%,,서울>도심지역,공실률,2011년 1분기,공실률
A_2024_00680,QY,201101,,,510003,도심지역,100001,임대료,24.0,천원/㎡,,서울>도심지역,임대료,2011년 1분기,임대료
A_2024_00682,QY,201101,,,510003,도심지역,100001,투자수익률,2.69,%,,서울>도심지역,투자수익률,2011년 1분기,투자수익률
A_2024_00678,QY,201101,,,510004,여의도마포지역,100001,공실률,4.8,%,,서울>여의도마포지역,공실률,2011년 1분기,공실률
A_2024_00680,QY,201101,,,510004,여의도마포지역,100001,임대료,16.0,천원/㎡,,서울>여의도마포지역,임대료,2011년 1분기,임대료
A_2024_00682,QY,201101,,,510004,여의도마포지역,100001,투자수익률,2.62,%,,서울>여의도마포지역,투자수익률,2011년 1분기,투자수익률
A_2024_00678,QY,201101,,,510005,강남지역,100001,공실률,5.2,%,,서울>강남지역,공실률,2011년 1분기,공실률
A_2024_00680,QY,201101,,,510005,강남지역,100001,임대료,20.7,천원/㎡,,서울>강남지역,임대료,2011년 1분기,임대료
A_2024_00682,QY,201101,,,510005,강남지역,100001,투자수익률,1.82,%,,서울>강남지역,투자수익률,2011년 1분기,투자수익률
A_2024_00678,QY,201101,,,510006,기타지역,100001,공실률,6.6,%,,서울>기타지역,공실률,2011년 1분기,공실률
A_2024_00680,QY,201101,,,510006,기타지역,100001,임대료,14.3,천원/㎡,,서울>기타지역,임대료,2011년 1분기,임대료
A_2024_00682,QY,201101,,,510006,기타지역,100001,투자수익률,1.86,%,,서울>기타지역,투자수익률,2011년 1분기,투자수익률
A_2024_00678,QY,201102,,,500002,서울,100001,공실률,5.6,%,,서울,공실률,2011년 2분기,공실률
A_2024_00680,QY,201102,,,500002,서울,100001,임대료,20.2,천원/㎡,,서울,임대료,2011년 2분기,임대료
A_2024_00682,QY,201102,,,500002,서울,100001,투자수익률,2.3,%,,서울,투자수익률,2011년 2분기,투자수익률
A_2024_00678,QY,201102,,,510003,도심지역,100001,공실률,6.4,%,,서울>도심지역,공실률,2011년 2분기,공실률
A_2024_00680,QY,201102,,,510003,도심지역,100001,임대료,24.1,천원/㎡,,서울>도심지역,임대료,2011년 2분기,임대료
A_2024_00682,QY,201102,,,510003,도심지역,100001,투자수익률,2.57,%,,서울>도심지역,투자수익률,2011년 2분기,투자수익률
A_2024_00678,QY,201102,,,510004,여의도마포지역,100001,공실률,5.3,%,,서울>여의도마포지역,공실률,2011년 2분기,공실률
A_2024_00680,QY,201102,,,510004,여의도마포지역,100001,임대료,16.0,천원/㎡,,서울>여의도마포지역,임대료,2011년 2분기,임대료
A_2024_00682,QY,201102,,,510004,여의도마포지역,100001,투자수익률,2.21,%,,서울>여의도마포지역,투자수익률,2011년 2분기,투자수익률
A_2024_00678,QY,201102,,,510005,강남지역,100001,공실률,5.1,%,,서울>강남지역,공실률,2011년 2분기,공실률
A_2024_00680,QY,201102,,,510005,강남지역,100001,임대료,20.7,천원/㎡,,서울>강남지역,임대료,2011년 2분기,임대료
A_2024_00682,QY,201102,,,510005,강남지역,100001,투자수익률,2.22,%,,서울>강남지역,투자수익률,2011년 2분기,투자수익률
A_2024_00678,QY,201102,,,510006,기타지역,100001,공실률,5.9,%,,서울>기타지역,공실률,2011년 2분기,공실률
A_2024_00680,QY,201102,,,510006,기타지역,100001,임대료,15.0,천원/㎡,,서울>기타지역,임대료,2011년 2분기,임대료
A_2024_00682,QY,201102,,,510006,기타지역,100001,투자수익률,2.05,%,,서울>기타지역,투자수익률,2011년 2분기,투자수익률
A_2024_00678,QY,201103,,,500002,서울,100001,공실률,5.3,%,,서울,공실률,2011년 3분기,공실률
