STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지역,지표
A_2024_00678,QY,200902,,,520008,서울역지역,100001,공실률,3.5,%,,서울>도심지역>서울역지역,공실률,2009년 2분기,CBD_서울역,공실률
A_2024_00680,QY,200902,,,520009,남대문지역,100001,임대료,20.4,천원/㎡,,서울>도심지역>남대문지역,임대료,2009년 2분기,CBD_남대문,임대료
A_2024_00678,QY,200902,,,520009,남대문지역,100001,공실률,5.4,%,,서울>도심지역>남대문지역,공실률,2009년 2분기,CBD_남대문,공실률
A_2024_00680,QY,200902,,,520010,명동지역,100001,임대료,16.4,천원/㎡,,서울>도심지역>명동지역,임대료,2009년 2분기,CBD_명동,임대료
A_2024_00678,QY,200902,,,520010,명동지역,100001,공실률,3.8,%,,서울>도심지역>명동지역,공실률,2009년 2분기,CBD_명동,공실률
A_2024_00680,QY,200902,,,520011,기타지역,100001,임대료,10.5,천원/㎡,,서울>도심지역>기타지역,임대료,2009년 2분기,CBD_기타,임대료
A_2024_00678,QY,200902,,,520011,기타지역,100001,공실률,7.5,%,,서울>도심지역>기타지역,공실률,2009년 2분기,CBD_기타,공실률
A_2024_00680,QY,200902,,,520013,마포지역,100001,임대료,13.5,천원/㎡,,서울>여의도마포지역>마포지역,임대료,2009년 2분기,YBD_마포,임대료
A_2024_00678,QY,200902,,,520013,마포지역,100001,공실률,9,%,,서울>여의도마포지역>마포지역,공실률,2009년 2분기,YBD_마포,공실률
A_2024_00680,QY,200902,,,520014,국회앞지역,100001,임대료,9.5,천원/㎡,,서울>여의도마포지역>국회앞지역,임대료,2009년 2분기,YBD_국회앞,임대료
A_2024_00678,QY,200902,,,520014,국회앞지역,100001,공실률,3,%,,서울>여의도마포지역>국회앞지역,공실률,2009년 2분기,YBD_국회앞,공실률
A_2024_00680,QY,200902,,,520015,여의도중앙지역,100001,임대료,14.9,천원/㎡,,서울>여의도마포지역>여의도중앙지역,임대료,2009년 2분기,YBD_여의도중앙,임대료
A_2024_00678,QY,200902,,,520015,여의도중앙지역,100001,공실률,3,%,,서울>여의도마포지역>여의도중앙지역,공실률,2009년 2분기,YBD_여의도중앙,공실률
A_2024_00680,QY,200902,,,520016,증권거래소지역,100001,임대료,17.8,천원/㎡,,서울>여의도마포지역>증권거래소지역,임대료,2009년 2분기,YBD_증권거래소,임대료
A_2024_00678,QY,200902,,,520016,증권거래소지역,100001,공실률,1.8,%,,서울>여의도마포지역>증권거래소지역,공실률,2009년 2분기,YBD_증권거래소,공실률
A_2024_00680,QY,200902,,,520017,영등포지역,100001,임대료,11.6,천원/㎡,,서울>여의도마포지역>영등포지역,임대료,2009년 2분기,YBD_영등포,임대료
A_2024_00678,QY,200902,,,520017,영등포지역,100001,공실률,6.3,%,,서울>여의도마포지역>영등포지역,공실률,2009년 2분기,YBD_영등포,공실률
A_2024_00680,QY,200902,,,520019,방배지역,100001,임대료,16.2,천원/㎡,,서울>강남지역>방배지역,임대료,2009년 2분기,GBD_방배,임대료
A_2024_00678,QY,200902,,,520019,방배지역,100001,공실률,2.5,%,,서울>강남지역>방배지역,공실률,2009년 2분기,GBD_방배,공실률
A_2024_00680,QY,200902,,,520020,서초지역,100001,임대료,22.2,천원/㎡,,서울>강남지역>서초지역,임대료,2009년 2분기,GBD_서초,임대료
A_2024_00678,QY,200902,,,520020,서초지역,100001,공실률,11.3,%,,서울>강남지역>서초지역,공실률,2009년 2분기,GBD_서초,공실률
A_2024_00680,QY,200902,,,520021,도산로지역,100001,임대료,17.6,천원/㎡,,서울>강남지역>도산로지역,임대료,2009년 2분기,GBD_도산대로,임대료
A_2024_00678,QY,200902,,,520021,도산로지역,100001,공실률,6.5,%,,서울>강남지역>도산로지역,공실률,2009년 2분기,GBD_도산대로,공실률
A_2024_00680,QY,200902,,,520022,역삼북부지역,100001,임대료,27.9,천원/㎡,,서울>강남지역>역삼북부지역,임대료,2009년 2분기,GBD_역삼북부,임대료
A_2024_00678,QY,200902,,,520022,역삼북부지역,100001,공실률,1.2,%,,서울>강남지역>역삼북부지역,공실률,2009년 2분기,GBD_역삼북부,공실률
A_2024_00680,QY,200902,,,520023,선릉북부지역,100001,임대료,21.1,천원/㎡,,서울>강남지역>선릉북부지역,임대료,2009년 2분기,GBD_선릉북부,임대료
A_2024_00678,QY,200902,,,520023,선릉북부지역,100001,공실률,10.3,%,,서울>강남지역>선릉북부지역,공실률,2009년 2분기,GBD_선릉북부,공실률
A_2024_00680,QY,200902,,,520024,삼성북부지역,100001,임대료,21.2,천원/㎡,,서울>강남지역>삼성북부지역,임대료,2009년 2분기,GBD_삼성북부,임대료
A_2024_00678,QY,200902,,,520024,삼성북부지역,100001,공실률,5.2,%,,서울>강남지역>삼성북부지역,공실률,2009년 2분기,GBD_삼성북부,공실률
A_2024_00680,QY,200902,,,520025,역삼남부지역,100001,임대료,17.8,천원/㎡,,서울>강남지역>역삼남부지역,임대료,2009년 2분기,GBD_역삼남부,임대료
A_2024_00678,QY,200902,,,520025,역삼남부지역,100001,공실률,11.4,%,,서울>강남지역>역삼남부지역,공실률,2009년 2분기,GBD_역삼남부,공실률
A_2024_00680,QY,200902,,,520026,선릉남부지역,100001,임대료,19.5,천원/㎡,,서울>강남지역>선릉남부지역,임대료,2009년 2분기,GBD_선릉남부,임대료
A_2024_00678,QY,200902,,,520026,선릉남부지역,100001,공실률,4.4,%,,서울>강남지역>선릉남부지역,공실률,2009년 2분기,GBD_선릉남부,공실률
A_2024_00680,QY,200902,,,520027,삼성남부지역,100001,임대료,24.1,천원/㎡,,서울>강남지역>삼성남부지역,임대료,2009년 2분기,GBD_삼성남부,임대료
A_2024_00678,QY,200902,,,520027,삼성남부지역,100001,공실률,11.3,%,,서울>강남지역>삼성남부지역,공실률,2009년 2분기,GBD_삼성남부,공실률
A_2024_00680,QY,200902,,,520028,양재지역,100001,임대료,15.4,천원/㎡,,서울>강남지역>양재지역,임대료,2009년 2분기,GBD_양재,임대료
A_2024_00678,QY,200902,,,520028,양재지역,100001,공실률,6.9,%,,서울>강남지역>양재지역,공실률,2009년 2분기,GBD_양재,공실률
A_2024_00680,QY,200902,,,520029,송파지역,100001,임대료,16.2,천원/㎡,,서울>강남지역>송파지역,임대료,2009년 2분기,GBD_송파,임대료
A_2024_00678,QY,200902,,,520029,송파지역,100001,공실률,4.4,%,,서울>강남지역>송파지역,공실률,2009년 2분기,GBD_송파,공실률
A_2024_00680,QY,200902,,,520031,충정로지역,100001,임대료,17.6,천원/㎡,,서울>기타지역>충정로지역,임대료,2009년 2분기,Others_충정로,임대료
A_2024_00678,QY,200902,,,520031,충정로지역,100001,공실률,1.2,%,,서울>기타지역>충정로지역,공실률,2009년 2분기,Others_충정로,공실률
A_2024_00680,QY,200902,,,520032,노원지역,100001,임대료,10.4,천원/㎡,,서울>기타지역>노원지역,임대료,2009년 2분기,Others_노원,임대료
A_2024_00678,QY,200902,,,520032,노원지역,100001,공실률,2.1,%,,서울>기타지역>노원지역,공실률,2009년 2분기,Others_노원,공실률
A_2024_00680,QY,200902,,,520033,동대문성동지역,100001,임대료,9.8,천원/㎡,,서울>기타지역>동대문성동지역,임대료,2009년 2분기,Others_동대문성동,임대료
A_2024_00678,QY,200902,,,520033,동대문성동지역,100001,공실률,5.6,%,,서울>기타지역>동대문성동지역,공실률,2009년 2분기,Others_동대문성동,공실률
A_2024_00680,QY,200902,,,520034,용산지역,100001,임대료,19.6,천원/㎡,,서울>기타지역>용산지역,임대료,2009년 2분기,Others_용산,임대료
A_2024_00678,QY,200902,,,520034,용산지역,100001,공실률,28.8,%,,서울>기타지역>용산지역,공실률,2009년 2분기,Others_용산,공실률
A_2024_00680,QY,200902,,,520035,강서목동지역,100001,임대료,11.5,천원/㎡,,서울>기타지역>강서목동지역,임대료,2009년 2분기,Others_목동,임대료
A_2024_00678,QY,200902,,,520035,강서목동지역,100001,공실률,4.1,%,,서울>기타지역>강서목동지역,공실률,2009년 2분기,Others_목동,공실률
A_2024_00680,QY,200902,,,520036,구로지역,100001,임대료,9.5,천원/㎡,,서울>기타지역>구로지역,임대료,2009년 2분기,Others_구로,임대료
A_2024_00678,QY,200902,,,520036,구로지역,100001,공실률,19.3,%,,서울>기타지역>구로지역,공실률,2009년 2분기,Others_구로,공실률
A_2024_00680,QY,200902,,,520037,사당지역,100001,임대료,10.1,천원/㎡,,서울>기타지역>사당지역,임대료,2009년 2분기,Others_사당,임대료
A_2024_00678,QY,200902,,,520037,사당지역,100001,공실률,6.6,%,,서울>기타지역>사당지역,공실률,2009년 2분기,Others_사당,공실률
A_2024_00680,QY,200902,,,520038,천호지역,100001,임대료,10.6,천원/㎡,,서울>기타지역>천호지역,임대료,2009년 2분기,Others_천호,임대료
A_2024_00678,QY,200902,,,520038,천호지역,100001,공실률,14.9,%,,서울>기타지역>천호지역,공실률,2009년 2분기,Others_천호,공실률
A_2024_00680,QY,200903,,,500002,서울,100001,임대료,18.9,천원/㎡,,서울,임대료,2009년 3분기,서울전체,임대료
A_2024_00678,QY,200903,,,500002,서울,100001,공실률,7.2,%,,서울,공실률,2009년 3분기,서울전체,공실률
A_2024_00680,QY,200903,,,510003,도심지역,100001,임대료,21.6,천원/㎡,,서울>도심지역,임대료,2009년 3분기,CBD,임대료
A_2024_00678,QY,200903,,,510003,도심지역,100001,공실률,6.1,%,,서울>도심지역,공실률,2009년 3분기,CBD,공실률
A_2024_00680,QY,200903,,,510004,여의도마포지역,100001,임대료,15.1,천원/㎡,,서울>여의도마포지역,임대료,2009년 3분기,YBD,임대료
A_2024_00678,QY,200903,,,510004,여의도마포지역,100001,공실률,5.8,%,,서울>여의도마포지역,공실률,2009년 3분기,YBD,공실률
A_2024_00680,QY,200903,,,510005,강남지역,100001,임대료,20.8,천원/㎡,,서울>강남지역,임대료,2009년 3분기,GBD,임대료
A_2024_00678,QY,200903,,,510005,강남지역,100001,공실률,6.7,%,,서울>강남지역,공실률,2009년 3분기,GBD,공실률
A_2024_00680,QY,200903,,,510006,기타지역,100001,임대료,13.9,천원/㎡,,서울>기타지역,임대료,2009년 3분기,Others,임대료
A_2024_00678,QY,200903,,,510006,기타지역,100001,공실률,11.4,%,,서울>기타지역,공실률,2009년 3분기,Others,공실률
A_2024_00680,QY,200903,,,520004,신문로지역,100001,임대료,24.5,천원/㎡,,서울>도심지역>신문로지역,임대료,2009년 3분기,CBD_신문로,임대료
A_2024_00678,QY,200903,,,520004,신문로지역,100001,공실률,3.4,%,,서울>도심지역>신문로지역,공실률,2009년 3분기,CBD_신문로,공실률
